Name,Id,Latitude,Longitude,Year,Spec,Type,Status,Condition,Auto_id
T2018-2,141652,51.59255,94.49984,2018,Buteo hemilasius,platf-tree,Occup,worth,262
T2018-20,141698,51.499892,94.671423,2018,Buteo hemilasius,platf-tree,Occup,worth,263
T2018-4 A35-MK FC-RT288-1_BH-RT510-1,141654,51.57476,94.5223,2018,Falco cherrug,platf-tree,Occup,worth,264
T2018-5,141657,51.533748,94.632238,2018,Buteo hemilasius,platf-tree,Occup,worth,265
T2018-6,141660,51.555231,94.648319,2018, ,platf-tree,Empty,worth,266
T2018-7,141666,51.543773,94.661423,2018,Buteo hemilasius,platf-tree,Occup,worth,267
T2018-8,141669,51.396667,94.575423,2018,Falco cherrug,platf-tree,Occup,worth,268
T2018-9,141671,51.391565,94.580306,2018,Falco cherrug,platf-tree,Occup,worth,269
T2018-BH-AL10,141699,51.5208,94.73107,2018,Buteo hemilasius,platf-tree,Occup,worth,270
T2019-1,169451,51.21281,94.91595,2019,Milvus migrans ,platf-tree,Occup,worth,271
T2019-3,169450,51.216699,94.956614,2019,?,platf-tree,?,?,272
TUV-1,TUV-1,51.52943107,94.61680943,2011,?,platf-pole,?,?,273
TUV-10,TUV-10,51.44594195,94.88186558,2011, ,platf-pole,Empty,worth,274
TUV-100,TUV-100,51.52664736,94.63996679,2011, ,platf-pole,Empty,worth,275
TUV-11,TUV-11,51.54552751,94.66789822,2011, ,platf-pole,Empty,worth,276
TUV-12,TUV-12,51.4862527,94.87335795,2011,Buteo hemilasius,platf-pole,Occup,worth,277
TUV-15,TUV-15,51.47943629,94.65239413,2011, ,platf-pole,Empty,worth,278
TUV-20,TUV-20,51.45787904,94.67011775,2011, ,platf-pole,Empty,worth,279
TUV-21,TUV-21,51.47550182,94.70724086,2011,Buteo hemilasius,platf-pole,Occup,worth,280
TUV-25,TUV-25,51.43179908,94.83511216,2011, ,platf-pole,Empty,worth,281
TUV-26,TUV-26,51.46223604,94.87326248,2011,Buteo hemilasius,platf-pole,Occup,worth,282
TUV-28,TUV-28,51.40950372,94.87660317,2011, ,platf-pole,Empty,worth,283
TUV-29,TUV-29,51.37377595,94.85380045,2011, ,platf-pole,Empty,worth,284
TUV-30,TUV-30,51.36898586,94.88226162,2011, ,platf-pole,Empty,worth,285
TUV-31,TUV-31,51.41594463,94.86037262,2011, ,platf-pole,Empty,worth,286
TUV-32-A49,TUV-32-A49,51.40442312,94.84793723,2011, ,platf-pole,Empty,worth,287
TUV-33,TUV-33,51.31063155,94.62882204,2011, ,platf-pole,Empty,worth,288
TUV-34,TUV-34,51.32430201,94.60316545,2011, ,platf-pole,Empty,destr,289
TUV-36,TUV-36,51.51139012,94.48036571,2011,Buteo hemilasius,platf-pole,Occup,worth,290
TUV-37,TUV-37,51.49200914,94.51165527,2011,Buteo hemilasius,platf-pole,Occup,worth,291
TUV-38,TUV-38,51.37665991,94.81736524,2011, ,platf-pole,Empty,worth,292
TUV-39,TUV-39,51.47370424,94.53138895,2011,Buteo hemilasius,platf-pole,Occup,worth,293
TUV-40,TUV-40,51.44540233,94.53044448,2011,Buteo hemilasius,platf-pole,Occup,worth,294
TUV-41,TUV-41,51.45165087,94.4995249,2011,Buteo hemilasius,platf-pole,Occup,worth,295
TUV-42,TUV-42,51.43537464,94.4681423,2011,Buteo hemilasius,platf-pole,Occup,worth,296
TUV-43,TUV-43,51.42754099,94.5112226,2011,Buteo hemilasius,platf-pole,Occup,worth,297
TUV-44,TUV-44,51.44399534,94.57247545,2011,Buteo hemilasius,platf-pole,Occup,worth,298
TUV-45,TUV-45,51.40431206,94.51392325,2011,Buteo hemilasius,platf-pole,Occup,worth,299
TUV-46,TUV-46,51.41086997,94.46749932,2011,Buteo hemilasius,platf-pole,Occup,worth,300
TUV-47,TUV-47,51.36955356,94.57473622,2011, ,platf-pole,Empty,worth,301
TUV-48,TUV-48,51.349553,94.58616846,2011, ,platf-pole,Empty,worth,302
TUV-50,TUV-50,51.39011546,94.71691056,2011, ,platf-pole,Empty,worth,303
TUV-53,TUV-53,51.38933435,94.48831896,2011,Buteo hemilasius,platf-pole,Occup,worth,304
TUV-55,TUV-55,51.39115775,94.62334748,2011, ,platf-pole,Empty,worth,305
TUV-59,TUV-59,51.38338069,94.67015119,2011,Buteo hemilasius,platf-pole,Occup,worth,306
TUV-6,TUV-6,51.57032655,94.59039663,2011, ,platf-pole,Empty,worth,307
TUV-60,TUV-60,51.40807989,94.69062424,2011, ,platf-pole,Empty,worth,308
TUV-61,TUV-61,51.36680824,94.64183318,2011,Buteo hemilasius,platf-pole,Occup,worth,309
TUV-62,TUV-62,51.36410482,94.60270462,2011, ,platf-pole,Empty,worth,310
TUV-63,TUV-63,51.34624936,94.62995653,2011, ,platf-pole,Empty,worth,311
TUV-64,TUV-64,51.36095876,94.68566752,2011,Buteo hemilasius,platf-pole,Occup,worth,312
TUV-65,TUV-65,51.33520251,94.66787324,2011, ,platf-pole,Empty,worth,313
TUV-66,TUV-66,51.48313866,94.58123814,2011, ,platf-pole,Empty,worth,314
TUV-68,TUV-68,51.40065378,94.56531521,2011, ,platf-pole,Empty,destr,315
TUV-69,TUV-69,51.34394626,94.70223544,2011, ,platf-pole,Empty,worth,316
TUV-70,TUV-70,51.35326769,94.6557681,2011, ,platf-pole,Empty,worth,317
TUV-9,TUV-9,51.55473512,94.64441213,2011, ,platf-pole,Empty,worth,318
